神社名稱,住所,URL,緯度,経度,電話番号
白山神社（はくさんじんじゃ）,福井県福井市文京５−１３０７,http://www.jinja-fukui.jp/detail/index.php?ID=20170112_115201,36.076978,136.204679,-
白山神社（はくさんじんじゃ）,福井県福井市文京４−１５１７,http://www.jinja-fukui.jp/detail/index.php?ID=20170112_114949,36.077274,136.208354,-
八幡神社（はちまんじんじゃ）,福井県福井市古市２−１−１,http://www.jinja-fukui.jp/detail/index.php?ID=20170112_114541,36.106429,136.225169,-
猿田彦神社（さるたひこじんじゃ）,福井県福井市冬野町２９−２,http://www.jinja-fukui.jp/detail/index.php?ID=20170112_113829,36.013169,136.187148,-
日吉神社（ひよしじんじゃ）,福井県福井市舟橋新町東８−４４,http://www.jinja-fukui.jp/detail/index.php?ID=20170112_113322,36.099419,136.210020,-
黒龍神社（くろたつじんじゃ）,福井県福井市舟橋町２９−１,http://www.jinja-fukui.jp/detail/index.php?ID=20170112_113009,36.099950,136.227852,-
一姫神社（いちひめじんじゃ）,福井県福井市二日市町３４−１５,http://www.jinja-fukui.jp/detail/index.php?ID=20170112_112411,36.128653,136.183013,-
白山神社（はくさんじんじゃ）,福井県福井市二ツ屋町２−１２,http://www.jinja-fukui.jp/detail/index.php?ID=20170112_112247,36.030564,136.035585,-
八幡神社（はちまんじんじゃ）,福井県福井市二上町２０−３０,http://www.jinja-fukui.jp/detail/index.php?ID=20170112_103305,36.000883,136.225024,-
白山神社（はくさんじんじゃ）,福井県福井市武周町１２−１２,http://www.jinja-fukui.jp/detail/index.php?ID=20170112_103029,36.034200,136.040056,-
熊野神社（くまのじんじゃ）,福井県福井市布施田町１−２０,http://www.jinja-fukui.jp/detail/index.php?ID=20170112_102836,36.147217,136.161246,-
足羽神社（あすわじんじゃ）,福井県福井市福町３４−８−２,http://www.jinja-fukui.jp/detail/index.php?ID=20170112_102657,36.046011,136.190206,-
白山神社（はくさんじんじゃ）,福井県福井市深見町１０９−４４,http://www.jinja-fukui.jp/detail/index.php?ID=20170112_102453,35.999902,136.271393,-
日吉神社（ひよしじんじゃ）,福井県福井市深見町１０２−８,http://www.jinja-fukui.jp/detail/index.php?ID=20170112_102310,36.002619,136.271777,-
白山神社（はくさんじんじゃ）,福井県福井市深見町５４−１２,http://www.jinja-fukui.jp/detail/index.php?ID=20170112_101745,36.002765,136.267324,-
白山神社（はくさんじんじゃ）,福井県福井市深見町５２−１８,http://www.jinja-fukui.jp/detail/index.php?ID=20170112_101630,36.003695,136.264458,-
白山神社（はくさんじんじゃ）,福井県福井市深谷町３８−２,http://www.jinja-fukui.jp/detail/index.php?ID=20170112_101323,36.0844972,136.1718467,-
味坂神社（みさかじんじゃ）,福井県福井市深坂町２０−２１,http://www.jinja-fukui.jp/detail/index.php?ID=20170112_101109,36.143677,136.111509,-
稲荷神社（いなりじんじゃ）,福井県福井市日之出（四ツ井）本町２７−１,http://www.jinja-fukui.jp/detail/index.php?ID=20170112_095950,36.063626,136.233198,-
白山神社（はくさんじんじゃ）,福井県福井市日之出４９,http://www.jinja-fukui.jp/detail/index.php?ID=20170112_095508,36.062099,136.228714,-
八坂神社（やさかじんじゃ）,福井県福井市引目１４−１６,http://www.jinja-fukui.jp/detail/index.php?ID=20170112_094740,36.022633,136.201227,-
神明神社（しんめいじんじゃ）,福井県福井市東平町２３−６,http://www.jinja-fukui.jp/detail/index.php?ID=20170112_094451,36.077473,136.125906,-
神明神社（しんめいじんじゃ）,福井県福井市東新町２３−１３,http://www.jinja-fukui.jp/detail/index.php?ID=20170112_093855,35.989171,136.291330,-
足羽神社（あすわじんじゃ）,福井県福井市東下野町８−６５,http://www.jinja-fukui.jp/detail/index.php?ID=20170112_093632,36.068583,136.170529,-
